dsname,rel1,vsname
straightaway1,vehicle_speed,Fast
straightaway2,vehicle_speed,Fast
straightaway3,vehicle_speed,Fast
straightaway4,vehicle_speed,Fast
straightaway5,vehicle_speed,Slow
straightaway6,vehicle_speed,Fast
straightaway7,vehicle_speed,Slow
straightaway8,vehicle_speed,Fast
straightaway9,vehicle_speed,Fast
straightaway10,vehicle_speed,Fast
straightaway11,vehicle_speed,Fast
straightaway12,vehicle_speed,Fast
straightaway13,vehicle_speed,Slow
straightaway14,vehicle_speed,Slow
straightaway15,vehicle_speed,Slow
straightaway16,vehicle_speed,Slow
straightaway17,vehicle_speed,Slow
straightaway18,vehicle_speed,Slow
straightaway19,vehicle_speed,Fast
straightaway20,vehicle_speed,Slow
straightaway21,vehicle_speed,Fast
straightaway22,vehicle_speed,Fast
straightaway23,vehicle_speed,Fast
straightaway24,vehicle_speed,Fast
straightaway25,vehicle_speed,Fast
straightaway26,vehicle_speed,Slow
straightaway27,vehicle_speed,Fast
straightaway28,vehicle_speed,Fast
straightaway29,vehicle_speed,Fast
straightaway30,vehicle_speed,Slow
straightaway31,vehicle_speed,Slow
straightaway32,vehicle_speed,Slow
straightaway33,vehicle_speed,Slow
straightaway34,vehicle_speed,Slow
straightaway35,vehicle_speed,Fast
straightaway36,vehicle_speed,Slow
straightaway37,vehicle_speed,Slow
straightaway38,vehicle_speed,Slow
straightaway39,vehicle_speed,Slow
straightaway40,vehicle_speed,Slow
Intersection1,vehicle_speed,Slow
Intersection2,vehicle_speed,Slow
Intersection3,vehicle_speed,Slow
Intersection4,vehicle_speed,Slow
Intersection5,vehicle_speed,Slow
Intersection6,vehicle_speed,Slow
Intersection7,vehicle_speed,Slow
Intersection8,vehicle_speed,Slow
Intersection9,vehicle_speed,Slow
Intersection10,vehicle_speed,Slow
Intersection11,vehicle_speed,Slow
Intersection12,vehicle_speed,Slow
Intersection13,vehicle_speed,Slow
Intersection14,vehicle_speed,Slow
Intersection15,vehicle_speed,Slow
Intersection16,vehicle_speed,Slow
Intersection17,vehicle_speed,Slow
Intersection18,vehicle_speed,Slow
Intersection19,vehicle_speed,Slow
Intersection20,vehicle_speed,Slow
Intersection21,vehicle_speed,Slow
Intersection22,vehicle_speed,Slow
Intersection23,vehicle_speed,Slow
Intersection24,vehicle_speed,Slow
Intersection25,vehicle_speed,Slow
Intersection26,vehicle_speed,Slow
Intersection27,vehicle_speed,Slow
Intersection28,vehicle_speed,Slow
Intersection29,vehicle_speed,Slow
Intersection30,vehicle_speed,Slow
Intersection31,vehicle_speed,Slow
Intersection32,vehicle_speed,Slow
Intersection33,vehicle_speed,Slow
Intersection34,vehicle_speed,Slow
Intersection35,vehicle_speed,Slow
Intersection36,vehicle_speed,Slow
Intersection37,vehicle_speed,Slow
Intersection38,vehicle_speed,Slow
Intersection39,vehicle_speed,Slow
Intersection40,vehicle_speed,Fast
Intersection41,vehicle_speed,Slow
Intersection42,vehicle_speed,Slow
Intersection43,vehicle_speed,Slow
Intersection44,vehicle_speed,Slow
Intersection45,vehicle_speed,Slow
Intersection46,vehicle_speed,Slow
Intersection47,vehicle_speed,Slow
Intersection48,vehicle_speed,Slow
Intersection49,vehicle_speed,Fast
Intersection50,vehicle_speed,Slow
Intersection51,vehicle_speed,Slow
Intersection52,vehicle_speed,Slow
Intersection53,vehicle_speed,Slow
Intersection54,vehicle_speed,Slow
Intersection55,vehicle_speed,Slow
Intersection56,vehicle_speed,Slow
Intersection57,vehicle_speed,Slow
Intersection58,vehicle_speed,Slow
Intersection59,vehicle_speed,Slow
Intersection60,vehicle_speed,Slow
Intersection61,vehicle_speed,Slow
Intersection62,vehicle_speed,Fast
Intersection63,vehicle_speed,Slow
Intersection64,vehicle_speed,Slow
Intersection65,vehicle_speed,Slow
Intersection66,vehicle_speed,Slow
Intersection67,vehicle_speed,Slow
Intersection68,vehicle_speed,Slow
Intersection69,vehicle_speed,Slow
Intersection70,vehicle_speed,Slow
Intersection71,vehicle_speed,Slow
Intersection72,vehicle_speed,Slow
Intersection73,vehicle_speed,Slow
Intersection74,vehicle_speed,Slow
Intersection75,vehicle_speed,Slow
Intersection76,vehicle_speed,Slow
Intersection77,vehicle_speed,Slow
Intersection78,vehicle_speed,Slow
Intersection79,vehicle_speed,Slow
Intersection80,vehicle_speed,Slow
Intersection81,vehicle_speed,Slow
Intersection82,vehicle_speed,Fast
Intersection83,vehicle_speed,Slow
Intersection84,vehicle_speed,Slow
Intersection85,vehicle_speed,Slow
Intersection86,vehicle_speed,Slow
Intersection87,vehicle_speed,Slow
Intersection88,vehicle_speed,Slow
Intersection89,vehicle_speed,Slow
Intersection90,vehicle_speed,Slow
Fork1,vehicle_speed,Slow
Fork2,vehicle_speed,Slow
Fork3,vehicle_speed,Slow
Fork4,vehicle_speed,Slow
Fork5,vehicle_speed,Slow
Fork6,vehicle_speed,Slow
Fork7,vehicle_speed,Slow
Fork8,vehicle_speed,Slow
Fork9,vehicle_speed,Slow
Fork10,vehicle_speed,Slow
Fork11,vehicle_speed,Slow
Fork12,vehicle_speed,Fast
Fork13,vehicle_speed,Slow
Fork14,vehicle_speed,Slow
Fork15,vehicle_speed,Slow
Fork16,vehicle_speed,Slow
Fork17,vehicle_speed,Slow
Fork18,vehicle_speed,Slow
Fork19,vehicle_speed,Slow
Fork20,vehicle_speed,Slow
Fork21,vehicle_speed,Slow
Fork22,vehicle_speed,Slow
Fork23,vehicle_speed,Slow
Fork24,vehicle_speed,Slow
Fork25,vehicle_speed,Slow
